<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.02	3893.640	3932.630	3870.130	3896.630	434668	1802086	0
2019.07.03	3918.430	3926.400	3867.900	3878.400	362515	1361489	0
2019.07.04	3853.200	3858.690	3834.690	3851.690	243533	886723	0
2019.07.05	3849.670	3887.660	3846.660	3871.660	288604	1168274	0
2019.07.08	3867.870	3868.340	3848.840	3852.340	218454	893131	0
2019.07.10	3837.530	3840.020	3798.520	3801.020	345553	1525253	0
2019.07.11	3785.450	3813.950	3781.950	3802.450	333127	1524957	0
2019.07.12	3806.690	3810.690	3777.190	3783.690	296745	1315474	0
2019.07.15	3778.900	3806.360	3774.860	3802.860	223418	961851	0
2019.07.16	3799.620	3817.620	3798.610	3815.120	264109	1124671	0
2019.07.17	3811.750	3813.260	3800.760	3809.760	201315	933326	0
2019.07.18	3805.680	3809.180	3762.680	3763.180	247933	1247998	0
2019.07.19	3777.370	3798.400	3775.900	3791.400	245683	1153299	0
2019.07.22	3788.500	3791.990	3773.990	3785.490	186287	760798	0
2019.07.23	3786.480	3823.490	3784.950	3817.490	269873	1266845	0
2019.07.24	3809.740	3821.740	3795.740	3816.240	219894	985168	0
2019.07.25	3807.690	3849.190	3798.690	3821.690	318961	1466855	0
2019.07.26	3819.840	3837.320	3802.820	3818.820	253662	1067666	0
2019.07.29	3827.430	3843.400	3819.400	3824.900	225438	932220	0
2019.07.30	3827.930	3840.930	3817.930	3833.430	247927	1083803	0
2019.07.31	3824.380	3861.370	3790.370	3856.370	422077	1879233	0
2019.08.01	3869.790	3903.310	3853.810	3883.810	400229	1516662	0
2019.08.02	3893.990	3935.480	3890.980	3928.480	199467	853910	0
2019.08.05	3966.130	4022.630	3956.630	4018.130	395176	1579051	0
2019.08.06	3985.290	4028.790	3979.790	4003.790	380809	1529809	0
2019.08.07	3985.790	4034.860	3985.790	4010.860	401131	1649744	0
2019.08.08	4000.930	4009.940	3960.940	3962.940	371587	1494740	0
2019.08.09	3973.190	3991.720	3964.720	3983.720	328669	1303183	0
2019.08.12	4035.230	4055.240	4016.740	4027.240	344401	1394576	0
2019.08.13	4030.180	4054.200	3987.200	4004.700	426502	1770467	0
2019.08.14	4036.240	4095.260	4028.760	4092.760	365937	1591223	0
2019.08.15	4059.440	4085.440	4021.440	4032.940	416900	1777317	0
2019.08.16	4020.600	4048.080	4015.580	4046.080	337962	1359864	0
2019.08.19	4036.240	4115.760	4030.760	4114.260	451968	1859675	0
2019.08.20	4103.820	4113.810	4065.810	4093.310	348027	1335526	0
2019.08.21	4067.520	4077.480	4052.980	4064.480	390112	1564975	0
2019.08.22	4070.030	4119.560	4056.060	4108.060	297806	1217396	0
2019.08.23	4107.870	4168.960	4088.460	4158.460	562966	2251530	0
2019.08.26	4144.190	4205.660	4139.140	4192.660	457837	1808830	0
2019.08.27	4188.570	4231.080	4157.580	4166.580	460708	1659092	0
2019.08.28	4178.480	4205.990	4167.490	4205.490	394748	1430084	0
2019.08.29	4200.680	4214.130	4179.630	4207.630	402429	1436702	0
2019.08.30	4194.130	4200.090	4172.590	4175.090	21681	71262	0
2019.09.02	4177.270	4225.780	4176.280	4221.780	233751	846694	0
2019.09.03	4213.500	4221.500	4186.500	4203.500	255506	992710	0
2019.09.04	4172.230	4187.230	4123.730	4129.230	283151	1091283	0
2019.09.05	4119.870	4149.360	4103.860	4143.360	313251	1187730	0
2019.09.06	4127.920	4130.920	4088.420	4095.920	317956	1183570	0
2019.09.07	4077.600	4118.100	4077.600	4107.600	53	895	0
2019.09.09	4081.100	4137.640	4080.600	4128.640	321348	1206694	0
2019.09.10	4126.410	4162.910	4111.910	4114.410	380555	1485803	0
2019.09.11	4125.910	4126.410	4084.390	4099.890	365930	1376306	0
2019.09.12	4077.600	4103.080	4059.080	4092.080	313355	1196853	0
2019.09.13	4078.600	4126.100	4073.600	4116.100	348823	1298554	0
2019.09.16	4124.410	4137.420	4106.420	4111.920	312171	1123336	0
2019.09.17	4121.390	4147.410	4102.910	4107.410	367034	1352474	0
2019.09.18	4108.800	4144.290	4102.790	4141.790	374139	1448408	0
2019.09.19	4162.160	4199.170	4155.670	4198.670	339290	1311246	0
2019.09.20	4195.390	4213.890	4176.390	4179.390	366571	1466633	0
2019.09.23	4175.750	4214.750	4173.740	4193.750	290699	1135795	0
2019.09.24	4182.300	4213.810	4182.300	4193.310	312813	1218536	0
2019.09.25	4214.530	4223.530	4174.030	4177.530	306386	1229897	0
2019.09.26	4177.270	4201.740	4150.740	4200.240	336985	1338387	0
2019.09.27	4193.370	4196.370	4173.870	4183.870	248326	973043	0
2019.09.30	4176.530	4200.520	4170.520	4182.520	215572	868618	0
2019.10.01	4193.100	4213.590	4182.090	4185.590	323666	1305372	0
2019.10.02	4205.150	4205.150	4156.150	4156.650	308941	1260970	0
2019.10.03	4156.420	4158.400	4102.400	4112.400	310970	1299362	0
2019.10.04	4108.690	4114.690	4077.690	4084.690	295845	1106513	0
2019.10.07	4095.630	4136.640	4085.140	4134.640	299619	1205960	0
2019.10.08	4138.340	4139.340	4100.820	4121.820	140594	508628	0
2019.10.09	4103.160	4136.670	4096.670	4135.170	242690	926945	0
2019.10.10	4126.780	4162.780	4115.280	4135.280	396137	23561860	0
2019.10.11	4117.240	4151.740	4104.740	4129.740	290643	1244481	0
2019.10.14	4136.830	4162.830	4133.830	4157.330	191287	658506	0
2019.10.16	4199.130	4211.130	4172.130	4176.630	126152	449642	0
2019.10.17	4168.980	4205.980	4151.980	4187.980	389372	1472889	0
2019.10.18	4182.040	4188.060	4135.060	4137.560	128918	496125	0
2019.10.21	4142.850	4175.880	4140.880	4153.380	308575	1121608	0
2019.10.22	4150.390	4151.390	4084.880	4103.880	387931	1434818	0
