<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.15	58599	58913	58133	58133	134217	321591	0
2015.12.16	58091	59070	57135	59030	176223	404513	0
2015.12.17	59138	60121	58146	58241	155396	387776	0
2015.12.18	57388	57719	56579	56744	158935	379880	0
2015.12.21	56928	57307	55657	55692	137798	347622	0
2015.12.22	56181	56511	55886	56476	99634	252990	0
2015.12.23	56648	57359	56584	57034	110953	276254	0
2015.12.28	56776	56999	56539	56574	65805	169523	0
2015.12.29	56871	57008	56253	56523	61307	161928	0
2015.12.30	56457	56519	55889	56174	75524	184776	0
2016.01.04	54450	55247	54257	54257	110159	273765	0
2016.01.05	54399	54857	54335	54807	104280	267818	0
2016.01.06	54113	54485	53670	53875	115860	318378	0
2016.01.07	52752	53131	52311	52426	118483	332499	0
2016.01.08	53071	53168	52168	52168	115076	333993	0
2016.01.11	52202	52804	51434	51434	124950	346457	0
2016.01.12	51845	52013	50903	51083	138585	386948	0
2016.01.13	51475	51668	50073	50163	132046	351939	0
2016.01.14	50164	51072	49567	50837	168595	457579	0
2016.01.15	49858	50040	48910	49710	160511	429682	0
2016.01.18	49915	50030	49083	49083	78167	226841	0
2016.01.19	49730	50115	48835	49065	160049	447891	0
2016.01.20	48268	48515	47600	48515	180538	512985	0
2016.01.21	48217	48886	48001	48556	179518	506399	0
2016.01.22	49054	49397	48787	48872	135457	383576	0
2016.01.26	48089	48307	47607	48032	130637	376540	0
2016.01.27	47885	49758	47808	49208	174718	523414	0
2016.01.28	49431	50225	48665	49485	197337	564807	0
2016.01.29	49814	51796	49701	51741	174520	513564	0
2016.02.01	51411	52057	50927	52007	156734	441441	0
2016.02.02	51411	51449	49117	49147	194967	541539	0
2016.02.03	49455	50840	49280	50565	216368	610681	0
2016.02.04	50963	53151	50946	52401	270154	746954	0
2016.02.05	52668	52849	51864	51864	191022	510101	0
2016.02.10	51168	51742	51092	51532	98516	274622	0
2016.02.11	50529	50937	49847	50327	179455	495029	0
2016.02.12	50676	51042	50397	51042	163644	448710	0
2016.02.15	51858	52064	51139	51309	74279	211734	0
2016.02.16	51539	52680	51075	52385	169143	488828	0
2016.02.17	52457	54132	52457	52927	191187	515519	0
2016.02.18	52741	53283	52528	52893	174667	442985	0
2016.02.19	52804	53485	52360	52920	164051	438364	0
2016.02.22	54264	55490	53880	55375	173247	453894	0
2016.02.23	55259	55714	54159	54264	177598	459782	0
2016.02.24	53371	53766	52611	53646	179508	452993	0
2016.02.25	53623	54024	52859	53479	180424	458074	0
2016.02.26	54070	54375	52780	52905	167700	441759	0
2016.02.29	53126	54902	53052	54382	193721	526878	0
2016.03.01	55108	56345	54965	56345	205906	569041	0
2016.03.02	56329	57258	55818	57038	233784	653445	0
2016.03.03	57467	60329	57414	60054	291227	807082	0
2016.03.04	63805	63805	61518	62493	324322	805844	0
2016.03.07	62183	63508	61973	62663	286928	700151	0
2016.03.08	62057	63591	61836	62731	253620	609880	0
2016.03.09	62785	63664	61849	62099	233613	565714	0
