<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.10.21	88936	89763	86491	89553	5571689	18722565	0
2018.10.28	92612	93591	86356	91571	5734909	18380703	0
2018.11.04	92208	93454	87373	93160	5822090	19110283	0
2018.11.11	88998	92116	87443	91946	5471299	16830117	0
2018.11.18	91783	91809	89156	89416	4122904	13157312	0
2018.11.25	90282	93287	88114	92541	5038380	16656089	0
2018.12.09	90447	91317	90032	90272	1844660	6538949	0
2018.12.16	90503	91139	87617	88216	6251635	22418099	0
2018.12.23	88133	90935	86639	90470	3364327	12566914	0
2018.12.30	90083	95744	89865	94854	4358731	16056638	0
2019.01.06	94802	97081	94003	96522	6836811	24374395	0
2019.01.13	96023	99288	95983	98793	6124845	22709060	0
2019.01.20	98650	100443	97363	100443	5099384	19293640	0
2019.01.27	99040	101179	97466	100594	6874191	25327382	0
2019.02.03	101025	101334	95890	97520	8764976	32036012	0
2019.02.10	98291	100773	96216	99818	8910278	31294437	0
2019.02.17	99487	100993	98081	100186	8587417	30398514	0
2019.02.24	100676	100858	96466	96696	7962830	28308913	0
2019.03.03	96384	97596	95306	97436	3945298	13873493	0
2019.03.10	101738	102522	97643	100808	8359803	33401237	0
2019.03.17	101062	102504	95011	95021	8759845	29345629	0
2019.03.24	93652	97703	91910	96858	10636919	33993736	0
2019.03.31	97938	99225	95771	98935	9208930	30562661	0
2019.04.07	98934	99325	93991	94546	8911136	31659199	0
2019.04.14	94977	96729	93697	95659	7296794	26563451	0
2019.04.21	95679	98167	95114	97537	8694111	32361754	0
2019.04.28	97789	98524	96545	97249	5708776	20937693	0
2019.05.05	95956	97579	93870	94968	8190227	30512030	0
2019.05.12	94043	94043	90294	91354	9342214	35235676	0
2019.05.19	90775	96232	90731	94332	9341978	34634802	0
2019.05.26	94909	98924	94869	97754	8322229	32120134	0
2019.06.02	97694	99177	96409	98752	8557545	31784585	0
2019.06.09	98197	100931	97481	100021	3370061	12592857	0
2019.06.23	104006	104165	102965	103125	1429979	5374782	5
2019.06.30	104555	106651	102085	106651	7847977	30511586	0
2019.07.07	106273	109068	101348	106295	6331270	25466191	0
2019.07.14	106680	107376	105449	105464	7942245	32573742	0
2019.07.21	105867	106753	104206	104826	7802756	32177523	0
2019.07.28	105145	106028	102816	104662	8799946	35031385	0
2019.08.04	103034	106692	100472	100597	10499390	47026004	0
2019.08.11	104748	105590	101943	102038	3829436	14187413	0
2019.08.18	101108	101433	98423	99103	1377294	5068773	5
2019.08.25	99667	103141	96377	103036	9733693	36532713	0
2019.09.01	102937	104665	100672	103304	7738338	30615861	0
2019.09.08	104812	106096	103548	104696	8255355	32637665	0
2019.09.15	104560	107275	103920	105776	8687934	33630947	0
2019.09.22	105436	106725	104072	106325	7611105	29520471	0
2019.09.29	106575	106599	100701	103240	8245915	34133859	0
2019.10.06	102897	105395	1001	104310	7013054	30355565	0
2019.10.13	104136	106765	104060	105300	3531798	14763543	0
2019.10.20	105690	108865	1080	108080	7891819	31872859	0
2019.10.27	108310	109145	106900	108970	7499264	31151490	0
2019.11.03	109710	110330	107540	107900	9518962	37289339	0
2019.11.10	107535	108985	105625	106955	7813164	31525205	0
2019.11.17	107850	108995	105690	108940	7022827	28947250	0
2019.11.24	109255	109375	106450	108430	9195410	37736525	0
2019.12.01	108315	111640	108250	111135	8715632	39124918	0
2019.12.08	110930	112970	110255	112720	6574245	31240719	0
2019.12.15	112970	116025	111905	115750	5835078	26185211	0
2019.12.22	115955	118570	115535	116880	4025686	16894400	0
2019.12.29	116960	119405	115770	118285	5472311	22791740	0
2020.01.05	117790	118260	115320	115940	11369320	47737842	0
2020.01.12	116330	118810	116120	118800	9955575	42305683	0
2020.01.19	118605	120080	117100	118500	10715002	44595693	0
2020.01.26	116600	117395	112910	113880	14233308	57728880	0
2020.02.02	114450	117855	113535	113570	12566135	53732046	0
2020.02.09	113655	118420	112135	114975	12680276	50986201	0
2020.02.16	115500	117220	113180	114275	12016629	46937599	0
2020.02.23	108710	109135	100335	104915	11756749	45813390	0
2020.03.01	103860	109960	97165	98040	21328656	78630421	0
2020.03.08	88540	92780	72125	80020	12863161	31891795	0
2020.03.15	74415	77410	61450	66390	15253291	24162320	0
2020.03.22	64240	78850	61900	73450	21905405	43887648	0
2020.03.29	73400	75485	67710	69300	21405544	53232122	0
2020.04.05	72650	80470	72150	78190	17088745	49981461	0
2020.04.12	77520	81725	76315	79300	17837401	57233843	0
2020.04.19	76890	81960	71800	76800	14299208	43310594	0
2020.04.26	78000	84240	76420	80100	14073833	39959996	0
2020.05.03	77350	81290	77050	80615	15067082	48177275	0
2020.05.10	79465	80820	75680	77590	16452566	54337835	0
2020.05.17	79535	84390	79385	84310	14739456	50465421	0
2020.05.24	85245	88260	84725	87570	15221634	47625035	0
2020.05.31	87500	97450	86670	94450	14369173	48708552	0
2020.06.07	95670	97975	90675	92995	14385507	45464344	0
2020.06.14	90695	97950	89935	96250	18282793	59470032	0
2020.06.21	97435	97670	93370	93450	16662060	57359623	0
2020.06.28	94230	98180	93945	96990	15689403	53527753	0
2020.07.05	98605	100385	97370	99900	15213701	56480875	0
2020.07.12	100750	103300	98300	103300	16110223	59856374	0
2020.07.19	102880	105520	100910	102530	16217052	64568329	0
2020.07.26	103130	105880	102575	103100	16283298	58899203	0
2020.08.02	103995	104660	99950	102680	19108918	66111036	0
2020.08.09	103200	104670	99775	101590	15385938	54419272	0
2020.08.16	101095	102725	98665	101350	17503889	60847737	0
2020.08.23	102610	103090	99450	102500	15771528	54850645	0
2020.08.30	102435	103445	99030	100990	18448859	63678258	0
2020.09.06	99910	101840	97790	98150	15422336	54752030	0
2020.09.13	99250	101150	97960	98090	18108512	63431464	0
2020.09.20	96720	98080	95300	97085	17915789	64691953	0
2020.09.27	98300	98450	93120	93300	19925602	71543013	0
2020.10.04	94155	98700	93660	97650	18537744	68321920	0
2020.10.11	98180	99875	97210	98700	13184792	51039736	0
2020.10.18	99150	102480	98570	101630	15934057	64997392	0
2020.10.25	100845	101970	93555	94535	19788290	78126939	0
2020.11.01	96090	101275	95135	101035	16314654	62500362	0
